,convergence,iterations,fitness evaluations,average fitness
0,True,76,632,0.3025
1,True,257,1899,0.5025
2,True,76,632,0.31916666666666665
3,True,80,660,0.3422619047619048
4,True,0,100,0.20532575757575763
5,True,74,618,0.3203333333333333
6,True,8,156,0.225547619047619
7,True,9,163,0.22404761904761905
8,True,47,429,0.2846666666666667
9,True,102,814,0.3383333333333334
10,True,102,814,0.4108333333333333
11,True,121,947,0.45166666666666666
12,True,9,163,0.22959523809523807
13,True,59,513,0.30999999999999994
14,True,228,1696,0.5014285714285713
15,True,10,170,0.2427142857142857
16,True,6,142,0.2087579365079365
17,True,83,681,0.3708333333333334
18,True,333,2431,0.5016666666666666
19,True,12,184,0.23840476190476184
20,True,621,4447,0.505
21,True,42,394,0.27166666666666667
22,True,12,184,0.21880952380952387
23,True,0,100,0.22149603174603175
24,True,0,100,0.20890208810797045
25,True,148,1136,0.4003333333333333
26,True,31,317,0.2748333333333333
27,True,0,100,0.2008460705960706
28,True,266,1962,0.502
29,True,68,576,0.29533333333333334
