,convergence,iterations,fitness evaluations,average fitness
0,True,58,506,0.25316666666666665
1,True,60,520,0.2771666666666667
2,True,27,289,0.22899999999999995
3,True,33,331,0.2495
4,True,54,478,0.28733333333333333
5,True,25,275,0.2374285714285714
6,True,363,2641,0.4608333333333334
7,True,223,1661,0.45416666666666666
8,True,0,100,0.19359931734931737
9,True,230,1710,0.4008333333333334
10,True,15,205,0.2311190476190476
11,True,177,1339,0.34166666666666673
12,True,30,310,0.24349999999999997
13,True,247,1829,0.4136666666666667
14,True,22,254,0.23785714285714285
15,True,38,366,0.27083333333333337
16,True,36,352,0.27059523809523806
17,True,5,135,0.20461111111111108
18,True,55,485,0.26266666666666666
19,True,29,303,0.2643333333333333
20,True,118,926,0.31666666666666665
21,True,35,345,0.2613333333333333
22,True,26,282,0.2560952380952381
23,True,78,646,0.29858333333333337
24,True,25,275,0.24594444444444444
25,True,55,485,0.2718333333333333
26,True,25,275,0.2406666666666667
27,True,99,793,0.3097619047619048
28,True,166,1262,0.38533333333333347
29,True,0,100,0.20571569117157348
