,convergence,iterations,fitness evaluations,average fitness
0,True,98,886,0.26575000000000004
1,True,210,1670,0.3184722222222222
2,True,106,942,0.26029761904761906
3,True,77,739,0.26233333333333336
4,True,155,1285,0.29350000000000004
5,True,0,200,0.1894549617049617
6,True,53,571,0.24475000000000002
7,True,1,207,0.1990993867243867
8,True,98,886,0.2659166666666667
9,True,164,1348,0.30779761904761904
10,True,62,634,0.25016666666666665
11,True,51,557,0.24258333333333332
12,True,0,200,0.1938979536545326
13,True,99,893,0.2645
14,True,0,200,0.19634311959969852
15,True,91,837,0.26983333333333337
16,True,0,200,0.19349919963077858
17,True,0,200,0.20109209744503861
18,True,20,340,0.2227559523809524
19,True,0,200,0.1950987525546349
20,True,0,200,0.19649428349428347
21,True,0,200,0.1888241154270566
22,True,269,2083,0.3675
23,True,0,200,0.19318721066515185
24,True,0,200,0.18495213120213122
25,True,0,200,0.20427402662696778
26,True,0,200,0.20370838883338885
27,True,5,235,0.20877182539682537
28,True,0,200,0.19013333398627516
29,True,31,417,0.22551190476190477
