,convergence,iterations,fitness evaluations,average fitness
0,True,107,949,0.27108333333333334
1,True,37,459,0.2275
2,True,96,872,0.2692916666666667
3,True,177,1439,0.3089166666666667
4,True,0,200,0.20355230880230876
5,True,101,907,0.2691666666666667
6,True,0,200,0.19772263847263846
7,True,84,788,0.25083333333333335
8,True,134,1138,0.29350000000000004
9,True,22,354,0.20751190476190476
10,True,80,760,0.25270833333333337
11,True,0,200,0.19449289109583226
12,True,116,1012,0.2719166666666667
13,True,243,1901,0.3189166666666667
14,True,77,739,0.2536309523809524
15,True,195,1565,0.31375
16,True,5,235,0.20070851370851372
17,True,70,690,0.24883333333333335
18,True,0,200,0.19120887445887447
19,True,0,200,0.19452704240204238
20,True,0,200,0.2023160728160728
21,True,0,200,0.2023359140859141
22,True,21,347,0.22021428571428572
23,True,0,200,0.19967916805416805
24,True,0,200,0.1959573571852984
25,True,53,571,0.2208571428571429
26,True,10,270,0.20496031746031748
27,True,0,200,0.1946352813852814
28,True,0,200,0.19464736652236653
29,True,0,200,0.18972063557357674
