,convergence,iterations,fitness evaluations,average fitness
0,True,0,200,0.18498411749069646
1,False,1960,10000,0.19628755724951374
2,False,1960,10000,0.1960321067821068
3,False,1960,10000,0.19455306213394447
4,True,0,200,0.19373418248418248
5,True,0,200,0.1974065561631351
6,False,1960,10000,0.19116653229811123
7,True,0,200,0.19152372137666254
8,False,1960,10000,0.19050231661183673
9,False,1960,10000,0.19379296112384348
10,False,1960,10000,0.2079605533355533
11,True,0,200,0.20180124246668363
12,True,0,200,0.19837121212121211
13,False,1960,10000,0.18913687211481328
14,True,0,200,0.1857848124098124
15,False,1960,10000,0.18925997613497614
16,False,1960,10000,0.20032810245310245
17,False,1960,10000,0.20083982683982682
18,True,0,200,0.1927839105339105
19,False,1960,10000,0.18976268176268177
20,True,0,200,0.20465301365301364
21,True,0,200,0.1930051566080978
22,False,1960,10000,0.19143072643730538
23,False,1960,10000,0.19356978182636075
24,False,1960,10000,0.1996743326118326
25,True,0,200,0.20378255954571742
26,False,1960,10000,0.1912500555000555
27,False,1960,10000,0.19717694805194802
28,False,1960,10000,0.190834987330677
29,True,0,200,0.19479141691641694
