,convergence,iterations,fitness evaluations,average fitness
0,True,69,683,0.23933333333333334
1,True,0,200,0.1897587135087135
2,True,179,1453,0.29987499999999995
3,True,44,508,0.23345833333333332
4,True,51,557,0.2408809523809524
5,True,41,487,0.23308333333333334
6,True,0,200,0.2047535381285381
7,True,28,396,0.22114285714285714
8,True,157,1299,0.29683333333333334
9,True,0,200,0.19110136135794029
10,True,93,851,0.2630833333333334
11,True,0,200,0.20276592851592853
12,True,0,200,0.19807287157287157
13,True,0,200,0.18800388448840466
14,True,0,200,0.19371055333555331
15,True,53,571,0.2415
16,True,3,221,0.1884018759018759
17,True,151,1257,0.28730555555555554
18,True,0,200,0.19824458874458872
19,True,0,200,0.2014010295260295
20,True,8,256,0.20375
21,True,445,3315,0.4043333333333333
22,True,83,781,0.2685
23,True,67,669,0.2544166666666667
24,True,33,431,0.2381547619047619
25,True,0,200,0.1977266067266067
26,True,0,200,0.18883782394076512
27,True,61,627,0.24350000000000002
28,True,69,683,0.2449722222222222
29,True,0,200,0.19323901792651793
