,convergence,iterations,fitness evaluations,average fitness
0,True,0,200,0.18665503888955903
1,True,0,200,0.18493171564417693
2,True,7,249,0.2093472222222222
3,True,61,627,0.2500833333333333
4,True,65,655,0.24458333333333335
5,True,0,200,0.1896591464091464
6,True,0,200,0.19607701070858966
7,True,0,200,0.20044923570581466
8,True,0,200,0.18776647780324254
9,True,0,200,0.20479895308939425
10,True,0,200,0.18728354029011926
11,True,0,200,0.20224193861693862
12,True,47,529,0.23634523809523814
13,True,0,200,0.19285656704406706
14,True,89,823,0.2617976190476191
15,True,0,200,0.19879992886482659
16,True,0,200,0.19270182105476225
17,True,201,1607,0.32083333333333336
18,True,2,214,0.1897548701298701
19,True,34,438,0.22460714285714287
20,True,261,2027,0.31583333333333335
21,True,58,606,0.24233333333333335
22,True,140,1180,0.28408333333333335
23,True,0,200,0.1929572510822511
24,True,3,221,0.19287319624819624
25,True,57,599,0.22699999999999998
26,True,200,1600,0.31916666666666665
27,True,16,312,0.2065595238095238
28,True,145,1215,0.30033333333333334
29,True,2,214,0.19762896825396822
