,convergence,iterations,fitness evaluations,average fitness
0,True,6,212,0.20015873015873015
1,True,49,298,0.22735714285714287
2,True,34,268,0.23411904761904764
3,True,0,200,0.19198833111333113
4,True,133,466,0.26445833333333335
5,True,0,200,0.19228805916305916
6,True,0,200,0.19068607781107783
7,True,214,628,0.29838888888888887
8,True,0,200,0.19861879786879785
9,True,28,256,0.22032142857142858
10,True,32,264,0.21827380952380954
11,True,0,200,0.20247113997114
12,True,0,200,0.19637536075036074
13,True,140,480,0.27991666666666665
14,True,190,580,0.29113095238095243
15,True,25,250,0.2145357142857143
16,True,0,200,0.19602428127428126
17,True,0,200,0.2071240793520205
18,True,7,214,0.20886111111111114
19,True,94,388,0.24991666666666668
20,True,0,200,0.21148446896241013
21,True,0,200,0.18908411033411035
22,True,74,348,0.2540833333333333
23,True,72,344,0.24208333333333334
24,True,277,754,0.3114166666666667
25,True,17,234,0.2148511904761905
26,True,0,200,0.18134073513775525
27,True,0,200,0.19183158508158507
28,True,101,402,0.26358333333333334
29,True,0,200,0.20982965645465643
