,convergence,iterations,fitness evaluations,average fitness
0,True,189,1523,0.30583333333333335
1,True,21,347,0.20417857142857143
2,True,146,1222,0.27558333333333335
3,True,99,893,0.26016666666666666
4,True,116,1012,0.28363888888888894
5,True,12,284,0.22029761904761905
6,True,32,424,0.2258452380952381
7,True,62,634,0.2366309523809524
8,True,62,634,0.25047222222222226
9,True,0,200,0.1956205808080808
10,True,32,424,0.21416666666666664
11,True,92,844,0.2641388888888889
12,True,1,207,0.20560569985569985
13,True,0,200,0.19331800144300146
14,True,95,865,0.25075000000000003
15,True,0,200,0.19488906926406926
16,True,1,207,0.20233903596403593
17,True,0,200,0.19116654179154183
18,True,172,1404,0.3152083333333333
19,True,0,200,0.19773134248792146
20,True,0,200,0.19081372793872795
21,True,226,1782,0.3245833333333333
22,True,7,249,0.2007698412698413
23,True,12,284,0.21380952380952378
24,True,84,788,0.2571666666666667
25,True,11,277,0.20528571428571424
26,True,585,4295,0.4232142857142857
27,True,38,466,0.23107142857142857
28,True,0,200,0.19992992424242423
29,True,62,634,0.24783333333333338
